customer_id,transaction_id,purchase_date,channel,campaign_id,product_category,base_value,discount_code,discount_percentage,discount_amount,final_value
CUST_0226,TXN_00000,2026-08-08,Email,CAMP_FLASH,Sports,110.36,NONE,0.0,0.0,110.36
CUST_0339,TXN_00001,2026-08-18,Social,CAMP_FLASH,Fashion,81.25,CART20,0.2,16.25,65.0
CUST_0101,TXN_00002,2026-06-12,Email,CAMP_SEASONAL,Beauty,150.17,NONE,0.0,0.0,150.17
CUST_0322,TXN_00003,2026-06-27,Direct,CAMP_LOYALTY,Fashion,153.52,FLASH25,0.25,38.38,115.14
CUST_0335,TXN_00004,2026-08-16,Direct,CAMP_LOYALTY,Fashion,95.62,NONE,0.0,0.0,95.62
CUST_0356,TXN_00005,2026-08-23,PPC,CAMP_LOYALTY,Electronics,32.61,NONE,0.0,0.0,32.61
CUST_0233,TXN_00006,2026-06-14,Organic,CAMP_SEASONAL,Sports,181.14,SEASONAL30,0.3,54.34,126.8
CUST_0368,TXN_00007,2026-07-06,PPC,CAMP_SEASONAL,Fashion,185.69,NONE,0.0,0.0,185.69
CUST_0380,TXN_00008,2026-06-24,Direct,CAMP_LOYALTY,Home,178.77,CART20,0.2,35.75,143.02
CUST_0225,TXN_00009,2026-07-30,Organic,CAMP_FLASH,Home,94.02,CART20,0.2,18.8,75.22
CUST_0276,TXN_00010,2026-08-10,Social,CAMP_WELCOME,Beauty,167.51,NONE,0.0,0.0,167.51
CUST_0208,TXN_00011,2026-07-07,Email,CAMP_LOYALTY,Beauty,155.25,FLASH25,0.25,38.81,116.44
CUST_0199,TXN_00012,2026-07-12,Direct,CAMP_WELCOME,Home,200.21,SEASONAL30,0.3,60.06,140.15
CUST_0152,TXN_00013,2026-07-07,PPC,CAMP_CART,Sports,98.99,NONE,0.0,0.0,98.99
CUST_0112,TXN_00014,2026-07-17,Direct,CAMP_LOYALTY,Beauty,96.21,FLASH25,0.25,24.05,72.16
CUST_0065,TXN_00015,2026-06-22,Email,CAMP_SEASONAL,Sports,143.24,NONE,0.0,0.0,143.24
CUST_0288,TXN_00016,2026-08-06,Email,CAMP_FLASH,Beauty,128.03,FLASH25,0.25,32.01,96.02
CUST_0167,TXN_00017,2026-07-17,Direct,CAMP_FLASH,Beauty,120.32,CART20,0.2,24.06,96.26
CUST_0129,TXN_00018,2026-07-16,Social,CAMP_WELCOME,Electronics,171.53,WELCOME10,0.1,17.15,154.38
CUST_0386,TXN_00019,2026-08-04,Email,CAMP_CART,Fashion,86.61,LOYALTY15,0.15,12.99,73.62
CUST_0122,TXN_00020,2026-07-01,Organic,CAMP_FLASH,Fashion,197.42,LOYALTY15,0.15,29.61,167.81
CUST_0310,TXN_00021,2026-08-15,Social,CAMP_FLASH,Electronics,198.31,NONE,0.0,0.0,198.31
CUST_0296,TXN_00022,2026-07-12,Direct,CAMP_LOYALTY,Electronics,186.94,NONE,0.0,0.0,186.94
CUST_0303,TXN_00023,2026-06-10,Social,CAMP_WELCOME,Home,147.64,NONE,0.0,0.0,147.64
CUST_0350,TXN_00024,2026-08-24,Organic,CAMP_CART,Beauty,117.44,NONE,0.0,0.0,117.44
CUST_0338,TXN_00025,2026-06-08,Organic,CAMP_WELCOME,Beauty,123.52,SEASONAL30,0.3,37.06,86.46
CUST_0250,TXN_00026,2026-08-10,Direct,CAMP_LOYALTY,Sports,250.32,FLASH25,0.25,62.58,187.74
